id,totTime,numSoln
2499,0,2
2500,0,6
2501,0,33
2504,0,303
2516,0,33
2518,0,6
2532,0,1
2540,0,1
2570,0,3
2576,0,1
2579,0,1
2584,0,1
2609,0,29
2610,0,1
2614,0,1
2618,0,364
2642,0,1
2645,0,402
2651,0,20
2654,0,2
2659,0,4
2663,0,2
2667,0,614
2670,0,54
2682,0,2
2688,0,2
2702,0,1
2703,0,2
2706,0,1
2707,0,1
2710,0,1
2713,0,18
2714,0,1
2715,0,1
2718,0,4
2722,0,1
2723,0,478
2727,0,1
2729,0,34
2733,0,4
2738,0,1
2742,0,54
2752,0,1
2754,0,8
2760,0,12
2761,0,5
2766,0,2
2771,0,28
2773,0,3
2774,0,5
2776,0,429
2779,0,54
2792,0,218
2793,0,"2,520"
2797,0,2
2799,0,2
2801,0,1
2806,0,4
2823,0,1
2824,0,278
2825,0,1
2833,0,3
2843,0,1
2849,0,1
2851,0,4
2854,0,23
2855,0,10
2864,0,12
2873,0,3
2874,0,2
2882,0,1
2887,0,2
2888,0,655
2893,0,2
2895,0,2
2897,0,54
2900,0,2
2914,0,1
2917,0,2
2921,0,2
2933,0,1
2944,0,4
2948,0,9
2949,0,3
2950,0,1
2951,0,1
2953,0,64
2959,0,9
2965,0,1
2978,0,8
3000,0,2
3004,0,299
3006,0,1
3009,0,3
3019,0,23
3022,0,2
3026,0,4
3030,0,2
3032,0,2
3043,0,1
3052,0,8
3060,0,16
3061,0,1
3065,0,2
3067,0,1
3069,0,1
3070,0,1
3079,0,1
3088,0,1
3090,0,1
3098,0,80
3101,0,11
3113,0,1
3122,0,20
3125,0,1
3127,0,1
3135,0,1
3147,0,244
3149,0,2
3183,0,8
3188,0,5
3198,0,4
3199,0,21
3204,0,3
3211,0,1
3237,0,2
3247,0,46
3248,0,180
3251,0,32
3256,0,18
3258,0,4
3264,0,123
3284,0,7
3,0.01,53
6,0.01,468
10,0.01,23
11,0.01,5
15,0.01,9
16,0.01,2
19,0.01,4
20,0.01,16
21,0.01,30
25,0.01,1
26,0.01,2
28,0.01,4
29,0.01,127
31,0.01,16
35,0.01,3
36,0.01,2
37,0.01,36
40,0.01,140
41,0.01,1
43,0.01,1
44,0.01,49
46,0.01,7
48,0.01,"1,190"
53,0.01,10
54,0.01,20
56,0.01,"2,978"
57,0.01,1
60,0.01,3
62,0.01,8
64,0.01,4
65,0.01,4
69,0.01,6
71,0.01,5
74,0.01,971
76,0.01,1
77,0.01,3
78,0.01,"3,347"
81,0.01,1
83,0.01,1
88,0.01,4
90,0.01,3
93,0.01,16
95,0.01,4
98,0.01,8
102,0.01,22
106,0.01,6
107,0.01,1
109,0.01,140
110,0.01,750
111,0.01,667
114,0.01,"24,264"
115,0.01,12
117,0.01,2
118,0.01,1
119,0.01,1
122,0.01,15
123,0.01,209
124,0.01,32
125,0.01,1
126,0.01,20
127,0.01,18
128,0.01,"2,219"
129,0.01,17
131,0.01,42
133,0.01,35
136,0.01,110
138,0.01,2
139,0.01,7
141,0.01,120
